Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,43.0
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,37.4
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,33.6
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,31.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,32.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,30.1
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,33.7
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,29.6
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,33.0
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH18,,,PT,2019-2020,30.9
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,39.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,43.4
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,38.4
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,38.4
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,44.5
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,44.6
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,42.4
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,46.3
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,53.5
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,57.4
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,F,,PT,2019-2020,58.3
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,37.5
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,43.2
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,35.5
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,36.1
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,36.4
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,35.8
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,35.3
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,38.0
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,40.8
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,43.9
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,M,,PT,2019-2020,45.3
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,38.2
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,43.3
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,37.0
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,37.2
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,40.3
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,40.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,38.8
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,42.1
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,47.0
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,50.5
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH13,,,PT,2019-2020,51.6
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,43.7
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,44.2
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,41.0
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,38.3
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,39.8
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,42.8
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,46.2
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,51.0
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,58.7
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,60.2
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,F,,PT,2019-2020,57.9
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,52.1
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,53.8
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,44.0
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,41.7
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,42.5
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,43.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,42.1
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,44.9
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,47.1
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,47.1
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,M,,PT,2019-2020,47.0
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,48.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,49.1
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,42.6
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,40.1
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,41.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,42.9
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,44.0
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,47.8
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,52.6
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,53.3
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH14,,,PT,2019-2020,52.2
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,47.4
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,46.6
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,38.6
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,33.3
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,35.3
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,35.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,36.3
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,41.3
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,45.9
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,45.8
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,F,,PT,2019-2020,47.0
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,45.7
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,44.5
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,34.6
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,31.2
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,31.8
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,30.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,30.6
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,36.3
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,36.2
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,36.5
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,M,,PT,2019-2020,38.3
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,46.5
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,45.6
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,36.5
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,32.2
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,33.5
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,32.5
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,33.4
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,38.7
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,40.9
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,41.0
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH15,,,PT,2019-2020,42.5
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,16.9
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,16.8
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,18.9
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,21.3
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,22.8
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,24.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,23.7
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,28.8
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,34.4
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,40.5
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,F,,PT,2019-2020,48.2
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,25.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,25.8
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,27.0
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,26.5
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,25.9
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,26.2
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,27.8
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,31.5
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,38.7
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,40.4
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,M,,PT,2019-2020,45.6
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,21.1
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,21.2
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,23.1
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,24.0
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,24.4
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,25.2
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,25.8
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,30.1
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,36.7
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,40.4
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH16,,,PT,2019-2020,46.8
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,43.7
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,46.6
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,42.3
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,40.8
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,41.5
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,42.3
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,43.8
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,49.9
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,52.3
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,56.0
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,F,,PT,2019-2020,55.8
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,40.9
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,43.6
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,37.1
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,33.3
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,31.1
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,31.8
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,34.3
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,35.8
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,36.6
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,40.1
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,M,,PT,2019-2020,41.2
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,42.3
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,45.1
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,39.6
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,37.0
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,36.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,36.9
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,38.9
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,42.6
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,44.2
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,47.8
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH17,,,PT,2019-2020,48.3
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,38.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,40.3
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,36.0
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,30.9
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,30.3
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,27.7
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,27.4
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,28.9
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,34.0
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,36.8
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,F,,PT,2019-2020,40.4
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,39.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,42.9
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,31.1
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,30.7
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,32.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,29.5
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,24.6
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,27.8
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,33.2
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,34.6
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,M,,PT,2019-2020,35.6
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,38.5
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,41.6
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,33.5
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,30.8
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,31.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,28.6
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,26.0
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,28.4
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,33.6
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,35.6
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH19,,,PT,2019-2020,38.0
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,48.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,38.7
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,42.4
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,40.3
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,40.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,44.6
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,48.6
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,56.6
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,58.1
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,62.9
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,F,,PT,2019-2020,58.6
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,59.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,62.4
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,52.1
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,49.3
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,47.8
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,48.8
